 INFO  Accepting connections at http://localhost:3001
 HTTP  15/05/2026 6:27:07 PM ::1 GET /employees/create/
 HTTP  15/05/2026 6:27:07 PM ::1 Returned 200 in 42 ms
 HTTP  15/05/2026 6:27:07 PM ::1 GET /_next/static/css/e52d105b64419d13.css
 HTTP  15/05/2026 6:27:07 PM ::1 Returned 200 in 10 ms
 HTTP  15/05/2026 6:27:07 PM 127.0.0.1 GET /logo22.png
 HTTP  15/05/2026 6:27:07 PM 127.0.0.1 GET /_next/static/chunks/webpack-e4426bb3840f3199.js
 HTTP  15/05/2026 6:27:07 PM ::1 GET /_next/static/chunks/main-app-e8f6d1c6cec109df.js
 HTTP  15/05/2026 6:27:07 PM ::1 GET /_next/static/chunks/4bd1b696-182b6b13bdad92e3.js
 HTTP  15/05/2026 6:27:07 PM ::1 GET /_next/static/chunks/1255-f1b4181a87abbba2.js
 HTTP  15/05/2026 6:27:07 PM 127.0.0.1 Returned 304 in 7 ms
 HTTP  15/05/2026 6:27:07 PM ::1 Returned 304 in 6 ms
 HTTP  15/05/2026 6:27:07 PM ::1 Returned 304 in 7 ms
 HTTP  15/05/2026 6:27:07 PM ::1 Returned 304 in 7 ms
 HTTP  15/05/2026 6:27:07 PM 127.0.0.1 Returned 304 in 20 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/147e179b-60f13e02b9fc7dc7.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/1029-b6e345a333841a3a.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/5125-9876791c4dcf463a.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/2619-04bc32f026a0d946.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/2843-e5b3debc9e1bd338.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/5490-d38be868a3cc3b79.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/9891-6c1cfe6c4945cd41.js
 HTTP  15/05/2026 6:27:08 PM ::1 GET /_next/static/chunks/app/layout-ae684e1c603f86f5.js
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 Returned 304 in 6 ms
 HTTP  15/05/2026 6:27:08 PM ::1 Returned 304 in 6 ms
 HTTP  15/05/2026 6:27:08 PM ::1 GET /_next/static/chunks/41ade5dc-020667901316d9d2.js
 HTTP  15/05/2026 6:27:08 PM ::1 Returned 304 in 1 ms
 HTTP  15/05/2026 6:27:08 PM 127.0.0.1 GET /_next/static/chunks/4909-725bb5626f16c299.js
